,Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6,Principal Component 7,Principal Component 8,Principal Component 9,Principal Component 10,Principal Component 11,Principal Component 12,Principal Component 13,Principal Component 14,Principal Component 15,Principal Component 16,Principal Component 17,Principal Component 18,Principal Component 19,Principal Component 20,Principal Component 21,Principal Component 22,Principal Component 23,Principal Component 24,Principal Component 25,Principal Component 26,Principal Component 27,Principal Component 28,Principal Component 29,Principal Component 30,Principal Component 31,Principal Component 32,Principal Component 33,Principal Component 34,Principal Component 35,Principal Component 36
3616,-0.7825362448961645,-0.30373704590100775,-3.9113666418529958,-1.4676472732053587,1.2353354841947448,0.1288135352109092,-0.2685820999332444,-0.13886553224204057,0.1823035990997938,-0.02374868119638497,-0.5984884979101502,-0.0827609627159842,-1.2989525795268921,0.5807271357922965,-0.7282571643759763,0.66019000838589,1.2221840519792033,-0.712334808747602,0.3054739593343191,0.6153717384326537,0.7928284417049627,-1.499418744130358,-2.2584485299908956,-0.24479671988429882,0.9196546421115149,0.08145225088064816,-0.07831730260736151,-1.6010079524317187,2.4230639557081983,2.1961752838368436,-0.19676302801769083,0.6411675823132232,-0.5035991341794654,2.003233397384668,0.9395999997960204,0.2518285498068521
2130,0.1927968656283573,-0.7668827101359971,-2.89799713545795,0.5439282537243169,1.2385387402210437,0.1497585452573327,-1.759522281729346,0.7523694288040427,1.311158029109212,0.351210897649362,0.5965535816842583,0.4157116575454359,0.3483749959565933,1.6193926506776022,0.43481976269654427,-0.8262074951558108,0.16486711853346633,1.1687996637618205,-1.4656130125489766,0.45357761819770365,0.8298544255263736,-0.006023511396430689,-0.11852159026039305,2.073085816462573,-0.9068367972888823,2.0117552457723016,0.19243814508638732,0.6634611224164089,-1.687378163663499,0.4840741095950567,0.4684350930078777,0.3003979455456902,-0.6465443340405967,-0.8823517198437996,0.7436366718634315,-1.3080979212074473
4417,-0.7744654661039316,4.383496665359975,-1.74797980501713,-0.9128465081467172,-0.9934577120912487,2.8041079138572904,-0.2492042965808361,-0.0012130318959338324,-2.0000547592008955,-4.003533894722141,-0.7142735050832236,-0.20450482723447613,0.380786801344957,1.3551428871043425,0.5464541346662997,0.07446535238462236,1.0826802834270495,-1.8098356881663635,1.5222084045815827,-1.5767492649814903,-0.8452922216544617,-0.06719825327055584,-0.5193368406905151,-0.28364497175583225,-0.542966833793542,-1.1233023980192844,0.1923778488868866,-0.7662185079168237,0.5989695602046101,0.3781002426658219,0.3348337996312423,-0.07647113952674049,-0.9423383681692692,-0.6810834142897343,0.43226923343588247,0.9039478864469404
1846,-2.504815039717072,-0.1492017229655638,-1.3700519555447808,0.09247320095661017,2.1823585566949806,-0.7547752283940197,0.0767343429565184,0.7404831044008472,1.0148837297503668,-0.3733145912505314,0.7493866468723318,0.5072869342660029,-2.0128496541224923,-0.125680138383451,0.8853963483793827,-0.7045584679597813,0.5485204160874324,-0.33161833358523923,0.14776483045650685,-0.5351547106515532,-0.6296081566288854,-0.7975420388612983,0.504816424071916,-0.9004677124355458,1.6380502234290024,-0.54571884022582,0.523955354140028,-0.2046136303895565,-0.0866489714226292,-0.6004109708518431,0.2947827291156735,0.4848591121538145,-0.7056284253863606,-0.3043808106726865,-0.03208574765917806,0.5704919709236418
5199,-2.3268094306409166,-0.25140658364915613,-2.991172302226878,-3.7825869998338044,1.3548759175721825,-1.4553510344556453,-0.3259552484174851,0.2365199633129375,0.8061074140699204,-0.3648100719961346,0.09404059554822704,1.101386883671253,0.6398790623306542,0.02476353986860989,0.6396102280394649,0.013641103753602151,1.2208675742236057,-1.4064639268189358,0.7491395172132086,0.2594941728995703,0.5184981269065441,0.21133568001925632,1.009225540428627,-0.7786990227987048,0.201412871351877,-0.4801365831473226,-0.8037484612187376,0.2352208420967576,0.7718993937087032,-0.5184327610640856,0.12525706631840197,-0.8216665985216395,0.7773882565853767,-0.7812451682621027,0.16244892187104915,0.030732198239188886
2483,-1.0731729203020797,-0.18517811604905146,-6.661305131163569,0.15006234323915665,0.2702794798423037,1.4711372099915783,0.23662832144104562,-0.9311453183113763,-0.4925258787231274,0.14430438162579806,-2.046090800638222,-0.675963056809407,0.00696617812186062,0.39910496218503055,-0.03349259205928363,0.058777809037532026,0.09728285209758424,0.02607381371135931,0.26856867054142247,0.027118661417549754,-1.398386516353904,-0.20355466679230944,-2.0119979483697694,0.0009382330593655932,-0.5384844478023769,-0.019384803542261204,-1.1151960271932841,0.3163866157268781,-0.3342653178615614,0.33936392544436067,-0.6161809540528753,0.7784374652698542,-1.109605965983222,-0.608044424276694,-1.3364700897335458,0.03303831483116935
1660,-2.5294742724757713,-0.03458760253610412,4.1037802965847305,-1.498284465301778,-3.9321999983969897,0.30726729733607727,1.3617047607816457,0.41970016361407814,0.000512232979312911,-1.0029318674695682,1.1597676706904632,-1.408319422021187,-0.5432355897580748,-0.47644783218240927,4.021150352394571,-4.528713659707043,2.911387816162678,-0.3375856809344653,-1.9450591909319037,1.2299074087976432,-0.41341296633530383,1.279119818922957,-1.4350766587420438,2.3083978683845254,1.748206258189714,-0.06006867975052917,0.08464820515868694,0.010315774463892207,-0.7139032933077141,-0.007187709215022061,0.4883915644001456,-1.2004920828213355,-0.7778490206665635,0.0999065794352755,-1.1906807569179487,-0.1284050903033406
1300,10.984321690372667,-1.5067397488099687,-3.9532980121947614,1.105744607121132,-2.041201880147467,-3.9680125450729347,10.769080729347548,-3.003656751278811,-3.90882404313506,-0.7568637510924756,2.3739427978620755,5.579524003468471,-1.0143779755368936,-1.3265489283693905,0.15325887193267523,0.9325233549312135,-0.9663466884170688,1.312121450284979,-0.5138665191064932,0.16851186925680917,-0.6035936385732114,-0.9766752125362863,-2.812167133779646,-1.1788573672297251,-1.5075238605486823,-0.03788084823943768,0.47711812572998646,-0.6913146325151657,1.0919633200499854,-1.5396428366396029,1.070048671989793,0.5196473275786556,-0.02378087909252297,0.5419473461429775,1.112752828086939,1.5295060776462512
3549,-1.8920060913356036,-0.08343343319936623,-3.564391550847982,1.616401076178721,-1.5218234646526219,-1.8019761905023295,-1.0224635286475914,-0.7876857085436955,-0.3721802209350678,0.23829783335098484,-1.5702323155267723,0.8283256723947181,-0.1366994505800045,0.7239110424014833,0.21759040468954619,0.3323221194136391,-0.4072738932916604,0.3286115137492062,-0.013154607656855595,-0.7994249288968321,0.7603714484100523,-0.5290331869451517,0.4362884250276957,-0.7413917500016325,-0.10724900252098464,1.3489448181903034,0.7210383872293955,-0.11621490774804388,-0.005074877732467419,-0.1847779787788766,0.42686532855522624,0.04910351856391483,1.2324312060203289,-0.5929938711466123,1.3683466075403925,0.5582547089838982
2537,-3.131808765266189,-0.05286673182553823,3.805020351214683,-0.8508675709379587,4.276644120727046,-0.1875821429694431,-0.5172690690694997,0.6325420252059751,0.3623158862326468,0.3321296801743413,0.8508726924066665,1.3829298702367676,-1.2457770630883191,-0.47354492603177245,0.0560481529105003,0.051723660085987146,0.5825886426484536,0.594564455173919,-0.55749279323099,-1.6754038150024262,-1.6843644546670318,-1.0231625603141552,-0.2747389463665548,-0.4523681334790912,-0.7576082315011067,-0.10474409551112358,-1.5702048717455546,0.7409452020734412,0.7708383752433184,-1.0083020586362232,-0.25108460444512026,0.9046745111473355,-0.22875101631401656,-0.39132361497663193,0.32017974618452194,0.4026526953590837
